Kundennummer,Kundenname,Kundenalter,Jahreseinkommen,Kreditsumme,Kreditwuerdig
20febfb3-c6b7-4f52-a68f-83fd3692a7bd,Yarham,27.90,49610.50,302525.68,false
bb1856f6-c955-4afa-bf93-d8a0f27b43d4,Andreoletti,58.47,52933.29,259144.25,true
8a9288fd-f062-40fe-992f-7aaa4f15df78,Holton,64.74,62193.45,140382.18,false
61131d1b-18a8-42b3-8ad6-16846694f058,Mingard,24.96,31910.87,225215.57,false
bbf10c4b-af0e-4f7b-a702-8ffbb3b1793a,Mongeot,83.37,30597.69,194016.80,false
9a1f9eb8-6eb5-4b0d-bde9-59e8496f873b,Colcomb,25.03,99460.22,391893.95,false
a7259ea8-a8a5-4f41-aee2-2367552e902d,Hamson,30.57,68782.68,358882.10,false
54d913ed-fd9d-4ba8-8bac-3e9162051cfd,Rego,43.68,71882.90,227664.48,true
3eae700e-f822-46f4-82ba-444866fbd868,Savill,36.67,32243.27,336440.90,true
9da4cbb2-836b-43ba-a722-c9b0a159e2b2,Nagle,77.39,54494.31,326310.26,true
256b8a63-7453-44d7-bbd4-744b43755ac2,Andres,46.77,66454.95,400411.18,true
93bcaf29-36ee-454f-9ffe-7f92988b725e,Evason,35.68,90037.24,120249.72,false
70ef3502-3e60-439e-b340-d448a8e008e3,Sabate,50.27,37359.61,72555.43,true
188c0aa9-b305-4525-8017-039418ba0df5,Nanni,41.84,33124.02,315320.00,false
3bece2c8-0ece-4e2e-b2e1-05bf70355636,McMychem,71.88,53213.31,164620.96,true
e592b756-6932-4fdc-9eeb-b914c56bfbb6,Goor,31.38,64402.27,64682.83,false
844a9fa6-3684-4f8f-ac75-a83bd265e592,Brydell,60.32,32889.57,312145.90,false
6c694bfc-3042-4a2d-924b-dfeff942ba81,Mattisson,68.19,56708.58,368772.92,false
52104518-2e13-461d-90e7-a7c7c15da709,Petch,62.17,44527.46,419664.12,false
05ffdd5f-709d-414e-a62e-25be4dec60e5,Gerardeaux,27.43,48348.61,429410.80,true
99fd5508-8c40-407c-a4d4-77604faccf16,Tribe,28.45,72128.17,221886.54,true
a24abab7-cce9-4acf-bd9c-432f3c86ee8c,Triner,94.57,91865.51,325874.99,true
8cf81276-2db6-4dc2-ad96-b8a75e397bec,Komorowski,55.22,76055.10,325969.44,true
d6168330-3746-4853-81f5-9381b4da6206,Kos,52.01,55687.97,435884.87,true
7bba4b9f-389f-42cb-8ff4-e8cee400ba73,Sennett,85.35,99038.89,147917.62,true
3bff930b-cec7-495b-be82-cf01856aa59a,Aucutt,38.29,84288.73,98370.65,false
08d758c3-3720-4186-8730-010d975061c3,Danne,22.75,47371.89,281765.31,true
73baff20-1eb2-4976-9371-89c96d863b19,Defraine,28.20,81426.58,210025.88,true
7a6ee60d-6077-44b4-9c78-6327e881d5e7,Coggeshall,83.61,70608.70,125685.86,false
8d4d8bde-2f2d-4a44-907e-cf9bbc530743,Bickerdicke,53.97,52657.44,242371.03,true
b76bb53e-0c7d-405c-a2e7-665c18e939fb,Offner,73.17,62857.32,309190.30,false
2d949403-7bfa-4ecb-bff8-b91a9f9364b3,Gilardi,43.87,64732.20,341071.13,true
d2ca9d43-3a4d-4ff1-99fb-2e3af8f7f9ef,Webbe,75.93,42052.33,341756.15,true
4090db29-3597-4a85-a2c2-8302513eab3f,Trevan,86.49,98865.11,206102.41,false
525a3174-d0ac-4a56-8c08-795e13b25bb0,Drane,24.06,59554.26,357031.73,true
7ee6b5e5-d049-4a99-8a38-05597d260427,Stapforth,55.15,90143.57,334659.87,false
54979ced-c1fb-4f6b-998a-c401c01e34bd,Hymor,32.99,36869.21,193448.82,true
50b67a3d-06a6-4c51-84ac-3d27f8ef1914,Crockley,58.49,79466.03,147920.61,true
a800e25f-5074-4079-8746-992c550ade26,Auten,68.53,90768.03,384043.04,true
03956eb9-51da-410d-9219-62031fc6c860,Leatham,93.89,83681.65,306198.42,true
e2a1624e-6d11-4c4c-89cf-0d3719175110,Ivashnyov,19.33,84855.07,347918.08,true
b4c7fc9a-6791-47d8-ab10-0ff299d149ab,Zannotelli,81.45,95683.51,384196.93,true
d71bdae2-573a-454f-b058-308dd230d563,Godlip,96.34,44319.82,378542.51,false
40afadb0-0454-4400-bf84-8761c01d4ea4,Millhill,71.96,49282.13,334892.29,false
3bd2b5a2-6ad2-4648-8489-007d9e0f66f1,Truwert,49.90,35309.24,434325.49,false
3c50228f-0021-461d-a124-7ff2b494ba50,Crab,35.06,51989.69,62121.91,true
91d35ee8-c5e8-4284-91c5-be48a8074b41,Hubbis,34.68,98109.62,102268.58,true
d42a9717-f909-4e82-9f80-b9f9f4b9176c,Pointing,57.72,65487.30,357203.81,false
e815ab63-510a-452c-90ed-37ac49999cc2,McGrail,18.13,72066.24,130410.07,false
44c9f86d-4e8d-4e7b-bf03-69f942cee0bb,Lindelof,56.22,82871.58,117120.75,true
797cfd4c-b016-4b59-95fd-cdf9d58a9c1a,Creamen,53.17,90671.05,398154.31,true
c3b2ea09-7458-4fbd-bd6b-cf6443267ef2,Goodredge,63.44,89022.12,237973.45,true
adf37ce7-eacf-4871-8bae-f0bb257d3db0,Scantleberry,74.40,32122.73,163335.94,false
5581d69b-a853-4de8-8b79-ecffe96525c0,Drains,97.09,58756.11,350057.00,true
e646a4c8-d652-4948-ab74-a1065b0c881e,Mattityahou,39.96,63162.92,380383.44,true
602f7c66-8513-4901-b9a8-b7cdba11880e,Bennell,64.99,37203.65,302090.56,false
120d505a-8f91-469f-aed0-fb771f09366b,McCusker,39.28,80222.00,359155.43,true
53158105-ee4c-4ab3-8e13-ba0d79f572ab,Dekeyser,51.58,49185.79,61579.14,true
fa3e9329-9f31-411f-821f-c9bb22aa415a,Guirau,64.23,96359.78,200327.88,true
95a3ccd1-5a9d-497e-af46-b5086ad66bd7,Mostyn,80.66,71800.73,376736.94,true
2ce828a1-ba52-4d19-80fb-e280f67a575a,Egel,88.34,31613.66,175041.89,false
6757b1f3-dadd-4078-9cee-a37a41bcb730,Caron,87.23,31780.31,165412.23,true
45974b4e-fdad-49bf-9a9c-aa4cc10be987,Matei,92.21,62005.28,250112.55,true
5b5fb440-4937-4a49-8bca-2a7f86e42a46,Bowring,75.20,82135.61,264993.87,false
80f97d6d-6f32-41bb-9f80-30291250d5f5,Kenealy,69.31,85887.69,308981.86,false
bc2be51c-c60e-4684-a5f8-bb95234395f1,Farrell,93.56,58124.62,273005.19,true
a1867c72-eb23-4cdd-bb55-c100f857f2c6,Gardiner,61.64,95769.84,344507.03,true
f4e01af3-b333-4c8d-9039-b80a1f73e475,Nottram,54.90,97492.28,332079.67,true
19d31257-9ccb-49bd-8b5a-b5c5c2c4c94d,Foldes,67.74,63447.92,155428.52,false
60e16ee1-2559-4051-88a4-de1f60a09747,Norcock,88.39,71289.83,273184.96,false
10de064f-e0bb-41a1-b8f6-b60a6fdf81f7,Tabourin,29.32,50151.42,323379.85,false
2222d307-7417-4b11-bb91-38cce62e2b94,Colegrove,61.53,34895.48,182352.38,false
08d24b8f-3f0c-4c15-84dd-eb1bb05152db,Alexsandrov,86.56,45981.42,440517.57,false
45a1e0d8-f77d-4ca5-b108-a3dc31a2af61,Dunton,80.39,51465.52,325738.18,true
7d4bc3af-fe98-4c21-a1b7-61641d1e3afe,Leggott,83.80,72941.97,434153.06,true
fa6ca796-35fd-4d51-97d1-b14b406a735c,Jeffery,90.89,90685.50,304692.03,true
b1c52a26-b43d-4d3d-8e48-90a849f8049f,Joanaud,43.66,50191.38,89934.36,true
8553fa68-d7d1-4f49-a5d9-b8314e9a134e,Leivesley,51.41,34328.19,72777.12,false
aa47821a-b2de-4e2b-aecd-82d69a4f6de2,Cloute,80.53,54046.79,241996.71,false
031f1eef-fb3e-4232-b713-0b4b3db7e567,Battelle,23.90,52246.77,318222.30,false
62bb584c-abf9-4d3e-acd9-668bf286d9b9,Meyrick,86.79,40928.40,369704.37,true
1857ca6c-b141-4f02-83bd-1ff1dacd3551,Le Gall,69.30,42997.22,275906.97,true
cb79a3cc-fb90-42e6-88de-719c364ae3d2,Whiteland,69.85,75327.22,81365.66,false
faf82373-51f6-4bae-9955-721b71d1ca13,Duckhouse,60.33,40802.33,211327.68,false
ba3aacba-0b43-4fc0-a208-c15d76599f6a,Kochl,86.55,97674.77,213998.56,true
7d0a3755-b0fa-4a20-8182-069ea4362749,Wimlett,70.40,42976.73,122473.53,false
c1dc0d88-df8d-4068-8fae-1d3f96cfd733,Rutland,38.64,39800.47,422541.99,false
1059c5d4-b5a5-4537-9a7e-2d1a80c2a0b4,Nacci,51.51,42663.25,393757.58,false
cccb15ad-c6b5-4a85-8ef7-8d9de9fef93d,Botting,80.10,85184.06,118412.44,true
ff13bdb2-b0f5-4361-b39a-b5194d0497ff,Jacobson,89.92,37880.57,217695.52,false
82fb9ed8-17f3-457b-ac5d-85fcd1a0e4cf,O'Tuohy,87.09,47648.29,359989.84,true
947f6668-7a1e-47ea-b765-22cbfe62640d,McGeaney,89.45,31484.29,281300.32,true
67b4943b-f855-4923-931d-b2205b1a7dd8,Parmby,97.18,30143.27,354074.31,true
65133413-f64b-4d15-837d-fdb6969bb1df,Reece,65.97,88646.72,330091.14,false
c5e905a0-965b-4408-83c3-1eac765e6061,Dayborne,89.31,75768.85,231701.16,true
0e2db6ba-79b9-410c-852a-512aae19ebd7,Bazire,97.38,73693.50,172518.80,true
52b543b9-5ad2-45f2-ba46-5f12ed001990,Fausch,28.28,78843.28,193403.53,true
983fb16f-95e2-4b81-946f-73137dd9e461,Kaysor,45.68,89910.95,286519.73,false
a09afe5d-e00c-474c-9b47-3293c24cb825,Glasson,40.34,47350.27,351546.74,true
95262754-4627-47c1-bbc7-b0672ccef44c,McKeeman,57.58,78396.23,364349.04,false
2fd985c5-94f7-4bd4-a600-b63d59f84900,Kennerley,73.51,70262.28,430519.64,true
7260b198-4bb7-44c1-b1fe-88f46bfe010c,Ottewill,23.52,37570.63,355757.65,false
5d9380e0-bf6a-4019-b2f9-5c43f01c5c3a,Dauber,91.99,45074.56,390093.64,false
aa09ca24-9cea-4fc5-961e-b4a38620f5e6,Hucquart,31.75,32940.12,442178.35,true
5c39cb39-69a7-4bb4-8a97-911f0481134f,Madill,55.53,85406.54,146684.77,true
5e15b05d-6f40-4a7e-91fc-c64ac2ea8c37,Hake,32.19,60088.18,88459.31,true
3b2f141f-aa24-4f0e-9d61-3620021cc30a,Peatman,87.32,47982.57,422109.27,true
7519f2be-6630-4ade-906c-c7bc20a2c9ec,Goble,42.11,37960.96,410258.71,true
d6f379f3-7e55-44f5-9458-7866b790bd10,Detheridge,76.61,55833.75,131836.26,true
b4c26c65-8ae7-4e7f-b965-804443ddecc3,Brewers,47.42,96500.77,365557.10,false
44ab1719-b1c5-4f31-8ab3-6b8a91fe20cd,Weston,90.87,50055.50,304065.02,false
d46b571e-2ee0-43e8-88da-cba2d815e646,Blaxland,18.08,85415.68,355423.41,false
21c10b4c-cab8-4576-a0d7-21f29151d9d6,Cruwys,52.99,64422.72,223675.60,true
86ff7d24-ab60-4c2e-914b-a8dca84dcdcc,Nend,92.48,49609.38,287728.97,true
e9af4073-996e-4d82-9c49-a1049bf1c2a5,Duckerin,26.81,70560.40,291308.91,false
2530d1a4-ff5a-49af-8896-081b3960e631,Bridel,43.01,32381.04,315172.95,true
2fc39337-1fc5-4f44-ad78-d507db3726ce,Boerder,39.05,76770.06,207845.47,true
c704371e-4ff3-40c5-a569-9de80831d650,McMurty,57.17,91127.91,271096.37,true
3256de96-3d98-42f6-b0d3-75309bfccb92,Piscot,52.13,64530.53,65336.17,true
9cb0541b-8de7-49bd-9f97-6a4267da66e0,Chamberlen,83.52,92436.61,141330.88,false
8b26b977-b105-457f-81dd-a6b96a5a1a49,Verick,26.85,81279.11,140690.39,false
ec3abbc3-a5f5-4798-9f1b-64dbe85a7af3,Sambath,90.98,51094.52,211720.23,true
1c474886-6d97-430f-95bb-4e84dbd574fe,Rabb,58.54,79546.45,151028.84,true
8dc1c971-9ead-4f67-9c72-d498f3488e2d,Simanenko,51.88,86973.80,66566.43,true
ab5bcba7-f889-48bd-85e1-718403c318a7,Hainsworth,36.80,99160.68,106474.22,false
feb7d917-4913-447a-8793-df19952c5f3f,Kusick,74.87,38947.73,314449.70,true
3be4e325-21ca-4fc5-ac20-11bf402bdc8d,Fassam,35.52,88040.20,264289.85,true
d8e278d6-76c1-4bfb-ad22-e360ce76a566,Hazart,22.41,88269.58,314232.55,true
b352b04a-ccfa-4e4c-a1cc-214bc4280c28,Walaron,90.04,36022.02,257228.36,false
0fbb48e0-7579-49d7-ad1d-cab71fc30e63,Lening,20.89,86647.30,88189.02,true
fc7643bd-6df7-4941-a936-2f58c20b59b2,Albrecht,63.77,46564.47,182478.54,true
e1799b3a-129e-464c-957d-530ad3a812c5,Hopkyns,64.37,84404.80,103740.20,false
d9b6c942-f9f8-49e6-be50-26ec35ea2fb7,Storkes,83.64,80179.11,205416.24,true
a90787d6-78eb-4268-913a-7e882fb50f0f,Tottle,62.86,68762.95,423809.82,false
b59eafcd-d071-4eca-9a22-745187cf5e92,Duggary,45.26,87505.69,70726.45,true
c8f29ae7-52c1-4311-95b4-1b91dc667af2,Simms,36.26,52869.23,377853.29,true
fbe6e41b-8422-4c83-9dbd-8ffb6f9dd8ed,Elfitt,21.39,83348.31,329259.36,true
bb5284d5-8e58-4e2d-a573-775f7f43d4e0,Ricks,28.84,44727.72,154508.22,false
15360323-21a1-4ff6-bcca-a5b768ee9bd2,Sweetnam,83.21,65575.99,127075.45,false
ea92b1df-6e11-4233-9619-32178d913689,Crohan,74.86,99812.63,143418.56,false
f665b34d-c4d1-49f7-8139-b43920475496,Kunc,32.68,48868.31,187106.31,true
4802ea8e-e249-4c35-8a20-04821b619308,Ayton,24.96,80056.72,423480.85,true
aa2e0d21-0978-4c04-bf01-ae9087a44724,Itzhak,52.37,42193.16,222454.57,true
3e255040-162a-46ae-a6c5-e20850b7b871,Newlands,69.80,34889.07,430233.10,true
8a440486-ba21-4308-8ad9-2a8517aaba12,Kubicki,79.65,62691.22,223961.79,true
141e3edc-6bbf-4476-9b3e-227289606029,Iveson,44.32,56545.33,69843.32,false
2f6bcd2a-9c94-41ed-ac2c-ce0cabb5f7fe,Blow,83.80,66539.81,75922.36,false
58b97dd9-bffd-4c58-a116-81c7cd4c8808,McCaskell,29.17,79716.54,201726.59,true
7ad355ec-3b24-48c6-8099-45d7f963138a,Winslow,64.66,46070.01,337325.58,false
7635f327-917e-40fa-8946-0e8ea0b90287,Solloway,73.03,80537.58,89618.25,false
982a840b-8f3c-4ca6-9588-b49863de83e4,Durn,83.12,57667.86,294789.43,false
f56f971d-00d1-449a-ae00-99fc3f2f92d5,Alben,54.05,90822.12,177379.27,true
36ef3572-e0e6-4a40-ad50-a0c242261020,MacGaughie,36.39,84302.78,438311.02,false
d94aac50-50e4-4854-bb5f-d4ee6b3f280c,Forre,64.07,44288.67,140028.91,true
22ce857a-bcca-46b3-b502-0a00f98077f5,McCoveney,81.07,78395.05,351035.04,false
feced27d-dedf-4247-a2fa-3b4a074efd63,Epilet,28.12,67369.40,236117.09,true
669062dc-f007-4347-8beb-cb2cef55e41a,Andres,33.97,81432.55,437810.23,false
c02df969-4dac-429a-a439-efba0b0a8e3e,Klaessen,29.23,53682.49,199620.94,false
94806734-9862-402c-84c7-2c4cbf44f361,Howsego,60.59,69344.06,158812.98,false
4ad7040d-a312-4260-b63a-ea14c89cc10d,Janak,30.17,78733.07,371072.71,true
16faa15f-9073-40b4-a195-e6c5b7703f7e,Bugge,32.54,87161.91,374988.51,true
f6dc50de-582c-42cf-b6c9-8e78b95cf860,Bazoche,27.41,88136.75,355018.68,true
4c50758d-cddb-45ff-9a13-efae02a9172d,Yansons,87.29,83308.28,287579.81,true
af9a6962-6cae-4220-b466-57c7fa1b3b30,Digby,75.56,75248.35,435348.44,false
26d7d447-b24c-4692-9e36-70a788704e2f,Raveau,18.90,53116.08,141693.74,false
ed735e17-92c5-405a-a8d7-13d6fc88cfac,Binyon,42.41,69097.54,230702.52,true
677ccbf8-4049-43b6-8833-b8678216506c,Beastall,34.28,45127.27,328368.79,true
28f46a9e-eced-421b-82d9-f44e7448a1a0,Slyford,89.85,68998.06,62042.04,true
bdf9cd95-d9c1-404a-8711-19958bc1426a,Sorby,22.39,60758.86,132502.19,true
d8fae4e9-503e-4ca3-b8b3-c6e4378a907c,Chidlow,52.46,69105.60,334658.13,true
eb342302-a40d-4f4a-865a-7caa1c295717,Colquhoun,93.01,56284.58,152402.09,false
c7c45640-65ea-4b78-a463-92b0bc2b2256,Butchard,73.79,58953.24,406884.84,true
ac213107-014c-4b13-92e2-9f5b7551f9e0,Baccup,34.55,90358.46,88624.08,false
115184b9-1f9c-431a-bab2-743840a261e9,Menault,88.72,30999.92,429034.10,true
8d43bce5-6c5d-4560-96c3-0d368e7dea2e,Rubanenko,48.89,31241.09,83779.88,false
766d3f5c-5a14-4b87-8372-23b91d722a80,Belison,65.31,85408.93,88416.18,true
754674c5-568a-49b5-86ae-95c096b50d35,Stallion,55.24,98618.85,251682.98,true
c17bfd4b-65ed-4d2f-b69c-50892fe22fcc,Djurdjevic,76.15,54191.11,320804.82,true
